"Could not fetch pages from %1","Kan pagina's niet ophalen van %1"
"Detach Wordpress Page","Koppel de Wordpress pagina los"
"Something went wrong with requesting a Wordpress resource. See logs for more information.","Er is iets misgegaan met het aanvragen van een Wordpress bron. Zie logboeken voor meer informatie."
"Wordpress Page","Wordpress pagina"
