"Could not fetch pages from %1","Could not fetch pages from %1"
"Detach Wordpress Page","Detach Wordpress Page"
"Something went wrong with requesting a Wordpress resource. See logs for more information.","Something went wrong with requesting a Wordpress resource. See logs for more information."
"Wordpress Page","Wordpress Page"
